,cell,lon,lat,month,decend,sum,geometry
22,8,-52.125,-9.875,10,2,51.24706215328641,POINT (-5802528.457599385 -1104763.084013848)
23,8,-52.125,-9.875,10,3,77.26542048984103,POINT (-5802528.457599385 -1104763.084013848)
24,9,-51.875,-9.875,9,1,12.518347528245714,POINT (-5774698.584901066 -1104763.084013848)
25,9,-51.875,-9.875,9,2,24.26896031697591,POINT (-5774698.584901066 -1104763.084013848)
26,9,-51.875,-9.875,9,3,32.391030576494,POINT (-5774698.584901066 -1104763.084013848)
27,9,-51.875,-9.875,10,1,45.21687104966905,POINT (-5774698.584901066 -1104763.084013848)
28,9,-51.875,-9.875,10,2,52.33336300320096,POINT (-5774698.584901066 -1104763.084013848)
29,9,-51.875,-9.875,10,3,74.80910703870985,POINT (-5774698.584901066 -1104763.084013848)
30,10,-51.625,-9.875,9,1,11.737522972954643,POINT (-5746868.712202748 -1104763.084013848)
31,10,-51.625,-9.875,9,2,20.737543529934353,POINT (-5746868.712202748 -1104763.084013848)
32,10,-51.625,-9.875,9,3,30.308276176452637,POINT (-5746868.712202748 -1104763.084013848)
33,10,-51.625,-9.875,10,1,42.368972566392685,POINT (-5746868.712202748 -1104763.084013848)
34,10,-51.625,-9.875,10,2,51.72189394632975,POINT (-5746868.712202748 -1104763.084013848)
35,10,-51.625,-9.875,10,3,71.94389957851834,POINT (-5746868.712202748 -1104763.084013848)
36,11,-51.375,-9.875,9,1,10.701980166965061,POINT (-5719038.83950443 -1104763.084013848)
37,11,-51.375,-9.875,9,2,19.815020031399197,POINT (-5719038.83950443 -1104763.084013848)
38,11,-51.375,-9.875,9,3,28.420113457573784,POINT (-5719038.83950443 -1104763.084013848)
39,11,-51.375,-9.875,10,1,41.28306473626031,POINT (-5719038.83950443 -1104763.084013848)
40,11,-51.375,-9.875,10,2,48.96591567993164,POINT (-5719038.83950443 -1104763.084013848)
41,11,-51.375,-9.875,10,3,70.8544019593133,POINT (-5719038.83950443 -1104763.084013848)
42,12,-51.125,-9.875,9,1,10.215756045447456,POINT (-5691208.966806111 -1104763.084013848)
43,12,-51.125,-9.875,9,2,17.75794283548991,POINT (-5691208.966806111 -1104763.084013848)
44,12,-51.125,-9.875,9,3,27.137980461120605,POINT (-5691208.966806111 -1104763.084013848)
45,12,-51.125,-9.875,10,1,40.449658923678925,POINT (-5691208.966806111 -1104763.084013848)
46,12,-51.125,-9.875,10,2,46.64277670118544,POINT (-5691208.966806111 -1104763.084013848)
