,year,sum,month,decend,dummy,hcl,hcl_ord
12,1992,47.17024663540271,10,1,1,0,0
13,1993,31.346755165677447,10,1,1,0,0
14,1994,33.105644571197615,10,1,1,0,0
15,1995,44.55899613672918,10,1,1,0,0
16,1996,46.603873133302095,10,1,1,0,0
17,1997,20.975337714462967,10,1,1,0,0
18,1998,36.30147540962303,10,1,1,0,0
19,1999,16.715645781525602,10,1,1,0,0
20,2000,34.38172056767848,10,1,1,0,0
21,2001,34.81721777825446,10,1,1,0,0
22,2002,25.971562342210248,10,1,1,0,0
23,2003,66.28758598826863,10,1,1,1,1
24,2004,32.80472578797545,10,1,1,0,0
25,2005,32.70174699729973,10,1,1,0,0
26,2006,56.260860247330946,10,1,1,1,1
27,2007,25.280255901706326,10,1,1,0,0
28,2008,40.851515302172196,10,1,1,0,0
29,2009,46.05971247761638,10,1,1,0,0
30,2010,28.4923139204393,10,1,1,0,0
31,2011,47.85838917728428,10,1,1,0,0
32,2012,33.05913609724779,10,1,1,0,0
33,2013,53.03256533839009,10,1,1,1,1
34,2014,19.850988426646747,10,1,1,0,0
35,2015,36.05007432533668,10,1,1,0,0
0,1980,39.41676286360124,10,2,1,0,0
1,1981,80.40723135087873,10,2,1,1,1
2,1982,36.11961311679501,10,2,1,0,0
3,1983,83.58433410957024,10,2,1,1,1
4,1984,58.465584317644634,10,2,1,1,1
5,1985,58.588050066769775,10,2,1,1,1
6,1986,73.03705479072167,10,2,1,1,1
7,1987,29.938957362503675,10,2,1,0,0
8,1988,40.07543429604301,10,2,1,0,0
9,1989,40.17229673602841,10,2,1,0,0
10,1990,71.6499654744174,10,2,1,1,1
11,1991,28.484915210531426,10,2,1,0,0
12,1992,33.76638963196304,10,2,1,0,0
13,1993,44.48228006334333,10,2,1,0,0
14,1994,31.606475017882964,10,2,1,0,0
15,1995,51.336325404408214,10,2,1,1,1
16,1996,37.83623338698388,10,2,1,0,0
17,1997,41.13493606927511,10,2,1,0,0
18,1998,62.60755916289635,10,2,1,1,1
19,1999,21.166633029798646,10,2,1,0,0
20,2000,18.319700838207126,10,2,1,0,0
21,2001,99.71221093054895,10,2,1,2,2
22,2002,46.186182436052256,10,2,1,0,0
23,2003,52.11684298539138,10,2,1,1,1
24,2004,52.97952069578828,10,2,1,1,1
25,2005,40.617092291196506,10,2,1,0,0
26,2006,79.81690705953898,10,2,1,1,1
27,2007,49.641134917081054,10,2,1,1,1
28,2008,29.482030183523445,10,2,1,0,0
29,2009,52.15923110112087,10,2,1,1,1
30,2010,41.738986404030236,10,2,1,0,0
31,2011,88.90017944639855,10,2,1,1,1
32,2012,61.87325743028334,10,2,1,1,1
33,2013,68.1942618986467,10,2,1,1,1
